Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Marshall,16,40.3,24.2,52.5,.461,4.7,15.2,.309,13.5,21.2,.635,11.7,19.6,8.9,21.6,30.5,13.0,6.2,2.8,66.6
Coastal Carolina,18,40.6,23.1,58.5,.394,6.3,19.7,.322,14.0,19.4,.722,10.6,17.4,11.6,20.1,31.7,10.5,6.4,2.8,66.4
Hofstra,18,40.0,22.8,50.1,.456,6.3,16.8,.374,14.4,20.9,.691,15.1,19.7,9.3,23.1,32.4,14.2,6.7,4.7,66.4
Iowa State,18,40.0,25.5,57.1,.446,5.1,17.2,.298,10.2,14.7,.691,11.9,17.5,8.2,22.9,31.1,14.2,5.3,3.8,66.3
Alabama A&M ,18,40.6,22.8,52.9,.430,4.2,12.8,.329,16.5,25.8,.640,13.3,18.2,10.0,21.8,31.8,9.6,8.4,3.4,66.3
North Texas,16,41.6,23.2,60.7,.383,6.2,20.1,.308,13.6,20.5,.662,13.2,19.4,11.4,24.4,35.8,10.2,8.8,4.0,66.2
Cornell,14,40.4,22.3,52.5,.424,7.1,20.9,.342,14.5,20.1,.720,14.5,16.8,9.5,25.4,34.9,13.8,6.1,3.3,66.2
Air Force,14,40.4,22.9,51.7,.442,7.1,20.9,.338,13.4,19.1,.701,12.6,16.0,9.5,25.1,34.6,14.3,7.2,2.3,66.2
Navy,14,41.1,21.3,45.5,.468,7.1,17.5,.408,16.5,21.4,.770,13.1,17.9,7.1,22.0,29.1,12.9,5.3,2.9,66.2
Columbia,14,40.7,22.1,49.1,.451,6.3,15.7,.400,15.6,21.2,.734,10.6,16.0,6.9,20.6,27.5,12.2,5.4,2.7,66.1
Toledo,16,40.0,23.8,54.4,.437,6.4,19.4,.331,12.1,18.9,.639,13.8,17.9,12.7,21.3,34.1,12.9,7.3,2.9,66.1
Arkansas State ,16,40.3,24.7,52.1,.474,6.3,15.6,.406,10.4,14.4,.722,13.2,17.5,8.0,20.3,28.3,11.4,6.4,4.4,66.1
Detroit,18,40.0,22.2,49.9,.444,7.8,19.1,.411,13.9,19.7,.704,15.2,19.2,9.1,18.8,27.8,13.1,5.9,2.4,66.1
Washington,18,40.0,23.6,55.9,.422,4.9,16.8,.290,13.9,21.3,.655,13.4,16.1,10.2,22.5,32.7,11.7,5.2,3.5,66.1
West Virginia,18,40.6,24.8,54.4,.456,4.8,15.9,.300,11.6,16.7,.693,11.8,19.2,9.1,21.0,30.1,12.8,6.6,4.2,66.0
Presbyterian,18,40.3,24.8,52.6,.471,5.3,13.7,.385,11.1,15.8,.702,9.7,17.3,7.8,19.4,27.2,10.1,6.2,2.4,65.9
Towson,18,40.0,22.8,51.7,.441,6.3,17.9,.354,14.1,19.6,.719,11.5,17.1,9.8,21.6,31.4,13.3,10.2,3.6,65.9
Arizona State,18,40.0,23.1,51.1,.452,6.4,18.3,.350,13.4,18.4,.729,11.3,16.6,8.4,19.6,28.0,14.2,7.4,2.6,65.9
Arkansas-Pine Bluff ,18,40.0,22.6,53.6,.422,6.3,17.4,.361,14.4,23.4,.615,14.7,19.4,10.3,21.9,32.2,12.2,6.8,2.8,65.9
Siena,18,40.0,23.0,58.1,.396,8.0,21.4,.373,11.8,16.8,.700,11.7,16.2,10.8,21.2,32.0,13.4,8.6,3.4,65.8
Quinnipiac,18,40.6,22.8,55.6,.411,5.6,16.7,.332,14.5,20.3,.713,12.1,20.4,9.2,21.0,30.2,12.6,5.2,2.9,65.7
Stanford,18,41.1,22.6,52.9,.427,5.3,15.9,.331,15.2,22.9,.665,13.1,16.9,8.4,22.8,31.2,11.2,6.8,3.6,65.7
Nevada,14,41.1,23.2,57.9,.401,6.8,20.4,.333,12.5,18.1,.692,11.5,19.9,10.9,20.6,31.5,13.9,5.9,2.9,65.7
Miami (FL),16,40.9,23.8,56.8,.419,5.7,19.1,.298,12.5,18.6,.673,12.7,15.6,10.9,23.2,34.1,12.3,6.6,3.8,65.7
Furman,18,40.0,22.4,52.3,.429,4.9,16.4,.302,15.8,21.9,.721,13.1,19.1,8.6,22.4,31.0,11.4,6.7,2.3,65.6
North Carolina,16,40.0,24.0,60.4,.397,7.0,21.6,.325,10.6,16.0,.660,12.5,19.1,9.7,22.6,32.2,10.4,5.7,3.3,65.6
McNeese State,16,40.0,22.6,54.1,.417,5.8,17.8,.327,14.6,20.2,.722,13.4,18.4,10.4,22.8,33.2,11.9,4.8,3.1,65.6
